,Tweets
72,"Dulur dan Kawan-kawan Surabaya, sampai ketemu di Ekspectanica 2022
.
22 Oktober 2022
JX International Expo, Surabay… https://t.co/mF6RDsQ5nU"
73,"@ko2w Belum lagi bahasa lemesnya dibagi: Lemes untuk orang yang dihormati, lemes untuk anak, lemes untuk merepresentasikan diri"
74,@kconkbalap_28 Kalah sama ampli. Ampli aja ada feedback-nya
75,@apaankeeek Bawel
76,"Jawab doang melulu. Tanya balik, dong. Biar obrolannya panjang"
77,@litaameilani Kasep gitarna nya? 🥺
78,"“Kadang kala tak mengapa, untuk tak baik-baik saja. Kita hanyalah manusia, wajar jika tak sempurna”
.
Terima kasih,… https://t.co/iMN186cLHe"
79,@nitakrnt Kayak udah didesain untuk terus berjuang
80,@Riyansupyans Ganteng ugha. Capa tuch?
81,Kadang mau udahan aja berjuangnya. Capek. Tapi teringat masih banyak yang harus dibayar
82,@KuntoAjiW Uchiha Kunto
83,"@NovaArdhanaEa Maaf, suara habis. Tadi malam habis tereak-tereak"
84,"Maaf,
Tak bisa kutulis banyak
Tinta habis
Tadi malam kugores langit
dengan namamu

— Rieke https://t.co/fsecTVd90D"
85,Semoga yang semoga dapat dipastikan. Yang mudah-mudahan dapat dimudahkan
86,"Entah kenapa, semesta mempertemukan Feby Putri dan saya malam ini untuk merayakan ke-runtuh-an. Terima kasih, Klate… https://t.co/guzZhmFAdY"
87,"Sepertinya, yang berawal dari hati akan sampai ke hati. Perjalanan panjang bermuara di hari ini. Terima kasih, AMI.… https://t.co/o7l2btg28z"
88,Kamu dan sweter apek milikku
89,@senjatanuklir Suara Kayu debut
90,"@zivamagnolyeah @dayatpiliang Jangan, Jip. Nanti telingamu ternodai"
91,@dayatpiliang Nasihat yang dipenuhi kata-kata mutiara
92,"@rezasnegara Sapu Ramayana, A"
93,@fannysoegi https://t.co/58Ghp5T8WE
94,@st0pw4tch FiErSa BLeeDiNg EmO SyKeS~~
95,@ragakrnwn Saya adalah Efek Rumah Kaca
96,@aldapstsr Kamu mending diem atau aku keluarin foto nangis
97,"11 tahun lalu dan pertanyaan pada diri sendiri, kenapa rambut dijadiin gorden? 🥲 https://t.co/g7hKdrXfQ3"
98,@jek___ Cogan = Cowok Gantole
99,"@firapuh @adeuchrwp Jadi gini. Eh, Boruto udah episode berapa? Oh, pada ketangkep narkoba. Iya, risol memang sering jadi bahan jualan maba"
