username,bintang,review
syahrol31,5,"Sangat luar biasa , produk original , kualitas ok bangat , mantap deh"
c*****y,5,"Barang sesuai warna ketika pemesanan, pengiriman agak lama, semoga awet pas digunakan, respon seller lumayan"
s*****i,5,Alhamdulillah sampe dengan selamat.... Ngk cacat sedikit pun.... Terimakasih
a*****i,4,"Dari bentuknya si lumayan bagus, tapi belum pernah di coba nih. Semoga awet"
d*****i,4,"Suka banget dgn produk ini, bagus baik.
semoga tahan lama yaa"
nadaamirahmaneka,5,BAGUSSSS BANGETTTT ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
n*****a,5,Kecepatan pengiriman sangat baik. Produk original. Packaging aman dan rapi
5*****h,5,"paketnya sampai dengan selamat 
powerbanknya juga nyala pas digunain 
thank youuuuuuuu"
t*****3,5,Barang cukup berat.  Semoga bersahabat-tidak merusak batrai bawaan HP.
i*****5,5,Produk bagus dan original. modelnya bagus dan stylish. Pengiriman cepat
afifahsofyaprilianaa,5,"Kirain kabel data nya yang type c kalo RT 190
Barang aman paking aman lengkap sii ini pengiriman cepat"
jefri.situmorang,5,"Barang sdh sampai.
Tdk ada cacat, berfungsi dan baterai msh ada 3 titik lagi.
Punya tetangga.
Makasih seller"
aliyaprtm8,5,"bagus powerbanknya, paling suka bagian yg nunjukin batrenya mantap pengiriman nya cepat. dan yg kerennya ad kabel buat charger tipe C juga. 👍👍👍cuma kabel data nya agak jelek dipakenya. semoga awet"
miftahulyaa,4,"baguss, aga lecet sedikit 😥, semoga awet makasii kaa!! dapet garansi juga 1 tahun🤗"
i*****_,5,"Produk sangat bagus
Pengiriman lumayan cepat
Semoga awet."
a*****a,5,Sesuai pesanan... Sudah di coba.. berfungsi.. Terima kasih
y*****8,1,"Astagfirullahaladzim ,
Bener bener Kebangetan ,
Power Bank Baru Pakai ,blum sampe seminggu,.
Udah Rusak Ngga bisa nyala ,.
Bner2 sedih ,
Ditipu sama yg jual ,produk KW 

Semoga penjual ,segera bertaubat ,.menjual barang2 KW ,

Buat temen2 ,kalo mau beli barang ,mikir dulu untuk beli disini ,."
nilam_boyan,5,Realpict bagus... berfungsi dengan baik sekaali... .....
nerfitaavt,5,"barang dikirim cepat banget, siang pesen sorenya udah proses. barang sampai dalam keadaan aman dan packagingnya aman banget."
syamsiahsekar,5,"Powerbank nya bagus , dapat harga flash sale,terimakasih"
nurulwidad94,5,Terimksih.. sudaah smpi barangnya.. berat banget ya.. packingnya rapii.. bagus
tyasrevani16,5,"Sesuai pesaanan,packing Rapi,pengiriman cepet,respon baek,berfungsi normall..
Smoga awet...
Terimakasih 😊"
md.awlfaaa,5,"adminnya ramah,harganya murce,gaada lecet,bisa nyala semoga awettt"
dwmrynt,5,"Niceeeeeeeee!!!
Thankyou seller  barangnya ori sudah sampai, kualitas produk baik"
a*****i,5,Beli kmrn pas 12.12 kirain bakal lama nyampenya ternyata cm 2 hari. Produk berfungsi dengan baik. Packing aman. Thx sellerrr
j*****m,5,"Supaya aman, selalu kalau belanja online lebih mantap langsung ke official store nya.Garansinya resmi. Packaging aman...pakai dus powerbank nya..ditambah bubble wrap. Terima kasih."
azerhafirin,5,Terimakasih seller sampai dengan selamat. Bubble wrap jg lmyn
a*****r,5,Powerbank tidak sempat saya foto karena disedang dicharger. Semoga awet dan tidak ada kerusakan sama sekali ketika dipakai. Klo bagus saya bakal repurchase ulang dan merekomendasikan kepada yang lain.
dewi.rsl,5,Realpick sayang suka dan biar bintang yang bicara semoga awet powerbanknya
r*****h,5,"bagus banget ❤️ kata temenku si bagus pbnya, batrainya g cepet abis. pekingnya aman banget. sesuai sama ekspektasi akuu, semoga awet. cuma pengirimannya agak lama efek 12.12"
arzoo_97,5,"Langsung di coba,,tapi pengisian ke hv kurang cpt😊"
d*****7,5,Bagus bgt warna putihnya beli pas 12.12 tapi ternyata cepet bgt nyampe nya 2hari langsung sampe. Thankyouu
f*****l,5,"Barangnya sudah sampaiii, pas awal dateng emg ga ada isinya jadi harus di charge dlu selama 2 jam an semoga bisa awet"
z*****7,5,VOTE EXOOOO GUYSSS JGN LUPAAA ❤❤❤ BTW BAGUSSS BGTTTT INI POWERBANK NYAAAAA SEMOGA AWETT
franzzia27,5,"Keren tampilannya..

Semoga awett, dan sesuai kapasitas..."
nesyadesfarivana,5,"Yey barangnya sampee, kalau robot pasti tahan banting dan awet, semogaa… Pengirimannya cepat cuma sehari aja"
