username,bintang,review
r*****o,5,Barang sampai dengan selamat. Terimakasih seler. Harga terjangkau dan semoga awet barang nya di aku.
m*****_,5,Produk berfungsi dengan baik. Pengirimannya juga cepat dan produknya juga sesuai. Terima kasih.
m*****s,4,"Baru mau tes pakai produk ini, pengiriman barang sangat baik, packingannya juga rapi, barang tiba sesuai pesanan"
xolovelymeng,5,bagus bagus bagus bagus wkdba flansf ajskmf iamdna  ajss ada kdn
manorastarof.nirvana,5,"Produk bagus,,berfungsi dengan baik..
Thank you seller 👍👍"
a*****1,5,"Powerbank nya realpict,bagus, pengiriman nya cepat, packing aman dan rapi, makasih"
d*****3,4,"Warna kurang ungu... Ternyata gak setipis dsn seenteng yg aku bayangkan...hehehe soalnya pernah punya yang lebih tipis dan enteng... 
Udah aku coba charge, memang lumayan lama... Waktu dipakai buat charge hp, lumayan cepet... Semoga awet... Terimakasih..."
bwvd094bdn,5,Untuk nilainya sesuai foto dan video serta bintang nya ya🤗🤗
rifidaacell,4,"Terima kasih seller, kurir & shopee paket sdh sy terima dgn baik"
putri_has,5,"Warnanya ketuaan, tidak sama dengan gambar. Mudah-mudahan awet ga cepet rusak kaya yang lainnya."
risky_ganap,5,"Terima kasih shopee and seller produk telah di terima, sangat sesuai recommend 👍"
v*****l,2,"Gak ada layar di dpn powerbank yg menunjukkan daya powernya tnggl brp persen, hrsnya hrganya bisa lbh murah, 

powerbanknya dicas lama penuhnya,

Packingannya pakai kotak dong, masa hnya bubble wrap aja, klo jatuh atau terketok keras kan bisa rusak

Ini baru prtama kali beli, gak tau awet gak"
r*****s,5,"Hallo min, makasih yakk barangnya udah sampe dengan packingan aman bangeet, pbnya juga bagus aku syukaaaa Insyaa Allah bisa tahan lama diakuuu.Maaf baru ngereview sekarang."
azrieljihada,4,Alhamdulillah yg ditunggu2 sampai dgn sesuai..padahal tdinya seller blg klo stok nya kosong..trnyara msh ada dan dikirimnya sesuai..real pict sihh..pengemasannya bagus..respkn penjual nya jga baik..smga awet yaa😊🤗🙏
zithietzian78,5,"Paket meluncur dengan selamat, lama dijalan, next order lain kali."
aris.agustiana,5,"Pengiriman sangat cepat
Kualitas produk sangat baik
Produk original
Thx"
hariyantors,5,"Barang sudah sampai dengan selamat, belom dicoba semoga aja awet"
a*****9,5,"Bagus banget , pengiriman sangat cepat , respon penjual ramah banget , top deh buat toko ini 👍"
ginanurviantf,4,Barang Bagus sesuai dengan harga brng original 👍👍👍👍👍👍👍👍👍👍👍👍👍👍
n*****8,5,Baguusss barang y.....packing aman...maksih seller n shopee
puputastr,5,"Barang bagus, masih tersegel. Terkendala pada pengiriman agak lama. Tapi gpp. Semoga barangnya awet ya. Trimaksih"
inggitprihantini,5,"Pengiriman cepat, pengisian awal agak lama tapi abisnya juga lama, udah 3 kali chrgr masih keisi 2. Semoga awet deh yaa"
r*****6,5,"Ini lg sambil dicoba, pengiriman cepat kok, kok baca reviewnya katanya pada lama ya, ini Alhamdulillah cepat, semoga awet, ga cepet rusak ya, barang diterima lengkap, ada garansinya juga"
l*****.,5,"Bagus, good, ahsan, namaste, namaskara, sudah sampai dan berfungsi dengan baik, semoga awet sampe 10tahun kedepan ya min, Amiiiin. Kita berdoa supaya apa yg kita dapat bisa bermanfaat untuk kita. Ih asik kali ah, udah bisa ini jadi ustadz milenial wokwokwok"
aditnirwanda24,5,"Mantap sekali 
Jangan2 ragu pesen pasti ga nyesel dah👌👌👌👌"
nhurshidiq71,5,"Barang mendarat dengan aman,terima kasih,belum dicoba sih ,,tapi udh 2 kali ini aq beli powerbank robot dan yg satu awet semoga ini juga awet nantinya 🙏🏻🙏🏻🙏🏻🙏🏻"
s*****6,5,"Pengiriman dan pengemasan cepatt , kualitas produk baikk ,saya sukaaa sayaa sukaaaa ,sudah 2 x beli disiniii ,semoga tahan lamaa"
samaninter82,5,"Belum di coba, karna tuk kado keponakan, mudah""an bagus dan berfungsi... Pengiriman sangat cepat, Terima kasih.."
thessa128,5,"Semoga awet , sangat di butuhkna saat urgent maupun perjalanan jauh. 😘😘😘😘😘😘😘😘😘😘😗😘"
s*****4,5,"Bagus bgt aslinya, warna nya keren makasih robot dan shopee"
yuliamaulinda,5,Sudah sampai paket nya kaka terimakasih banyak yaa
inyhnay.e,5,"Alhamdulillah udah dateng juga hihi, suka banget sama warna nya gemess.. Dan udah aku coba semuanya berfungsi dengan baik, semoga awet hehehe.. Thank you ya kak"
n*****n,5,"Power Bank sudah sampai dengan selamat, bagus warnanya cakep semoga awet"
lilihnurhayatiiii,5,"Barangnya udh nyampe,packingan aman,dengan kondisi mulus dan bagus banget powerbanknya sukaaa😍🥳 terimakasih"
t*****a,5,"sudah sampai, pengiriman 3 hari, lumayan, blm d coba mudah""an awet, thanks seller"
t*****i,5,"mantap seller, sesuai pesanan. sudah datang paketnya, semoga awet"
y*****a,5,PB nya cantik warnya sukaaakk😍😍 berfungsi dgn baikk.. thankyouu
m*****1,5,"Lucuk warnanya, ringan juga ,ukuranya sedang, pengirim cepet,barang original.. makasihhh"
fitriagemilang,5,"Masya allah bagus banget banget bangettttttttttt, pantesan pas mau beli gak ragu, untuk suami karena butuh kalau kerja hapenya suka abis batre, tapi warnanya favorit aku ungu💜"
windinovitarohman,5,Alhamdulillah sampe dg selamat. Dan ini bagus bgt aslinya. Semoga awet yaaa....mksh seller
affridaaa,5,Lucu banget dicobain semuanya mau sih semiga awett thankyou seller🖤
auliafitriiii2603,5,"Hallo guys bagi kalian yg ingin order Power bank langsung order ditoko ini yaa😍 
Recommended bangett aslii kecee parahhh gasia siaa beli disini, warna cakep cakep, kualitas bestt!! 👍

Untuk babang kurir ramah bangett thank u, paket aman sampai tujuan. 
Untuk toko ini terimakasih banyakk 😍❤"
aisyah010919,5,Produk original.. kualitas oke..puas bgt . terimakasih seller...
hennysr__,5,"Kualitas sangat bagus, packing aman,,, berfungsi dengan baikk, semoga awet batrenya..."
r*****a,5,"Ukuran powerbanknya pas menurut saya, termasuk agak tipis juga, jadi kalo di bawa bawa enak, berfungsi dengan baik, semoga tahan lama"
j*****_,5,"Kualitas produk baik, pengiriman cepat, packaging bagus."
surya0914,5,"Bagus pengiriman cepat 
Lengkap semua sesuai
Bagus juga 

14 Mili feed rate 300 ampere 87 speed 80

12 Mili feed rate 400 ampere 75 120

8 Mili feed rate 600 ampere 60 speed 130

6 Mili feed rate 800 ampere 50 speed 105

3 Mili feed rate 1500 ampere 40 speed 120"
ainung_af,5,Produk Original. Kualitas produk sangat baik. Kecepatan pengiriman juga baik. Respon penjual ramah. Packing Rapi bubble wrap...  Mantap. Terimakasih...
wahyunisyaf,5,"Paketnya sudah sampai dengan baik, pengemasannya rapi dan aman, sangat suka dengan warnanya yg super lucu, semoga awet"
_lolitaprilia_,5,"harga terjangkau, pengiriman cepat sampai dan aman karena packagingnya secure dikasih bubble wrap dan ada kartu garansinya juga mantabbb"
f*****9,5,Pengiriman aman pengemasan aman warnanya bagus cantik banget semoga awet sih btw ternyata ukurannya lumayan gede ampir saingan sama ukuran hp ku wkwk but no problem thanks seller👌🏼👌🏼👌🏼👌🏼
d*****i,5,"Untuk powerbank ini udah order yang kedua kali dengan merek tipe dan model yang sama,bagus banget makasih kak"
fitrirohani10,5,Produknya ori kemasan bagus next time order d sini lagi insyaallah 😇😇
aidillamaizon,5,"Kereeeeeen   Bisa  ngecharge lebih dari dua kali, respon penjual dan pengirimannya cepet, warna purplenya cantik bangggeettt i like it, dapet harga yang lagi diskon yeeeio happy"
chatrineyap74,5,produknya bagus sesuai pesenan pengirimabnya cepat mantappppppp
muhammadfikribayhaqi06,5,"Alhamdulillah suka suka bgttt
Barang mendarat dengan selamat pengirimannya cepat"
e*****4,5,"Saya suka dengan warnanya dan awet pemakaiannya, terimakasih ya..."
i*****a,5,"Puji Tuhan udh sampe makasih shopee seller dan kurir GBU
Cepet bgt padahal pesen kemarin siang , eh ini Masi jam 10pagi dh sampe 
bagus bagus love love love love love"
nurilpitriyati21,5,Hsjakkahaha sjakahusjs akkahsudhsbaja amkajsbdhdjsjskaksjhshsjs majshejejahsh jakskdbhdkakw sksdnudjsbshhs jaksidbdjkaiwhe nsjdhdukakaidu nakdjdiaikaksjdjd kajdjejdjsns 🥰🥰🥰🥰🤭🥰🥰🥰🥰
r*****n,5,Barangnya sudah saya terima. Powerbanknya berfungsi dengan baik dan dipacking dengan aman. Terimakasih seller
debidevia,5,"Barang sesuai deskripsi dan krlihatan premium, bukan kaleng kaleng. Pantas di beli, bisa jadi langgaman."
ahmadahif,5,Warna kesukaan sih bagusss...mantaapp.. pengirimannya cepatt
j*****_,5,"Produk sudah sampai dengan amaannn,  packingnya rapii semoga barangnya aweeettt"
diyah_komalasari,4,Maaf ya bru kasi ulasan hehe overall bagus gaada cacat dan ga ngecewain produk robot emg dabest deh hehe udh kedua kalinya beli disini bagus pisan makasih ya seller dan kurir ❤️
khanifah_khair,5,Sedih sih kasih nilai sebanyak ini tp cuma di kasih koin 25 hmmm🙃🙃🙃🙃🙃🙃🙃🙃😒😒😒😒😒🙃🙃😒😒😒😒😒😒😒🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃 Terimakasih banyak kepada penjual... pengiriman cepat. Harga pas.... barang aman... semoga awet... semoga berkah buat owner dan pekerja. Terimakasi
c*****a,5,"Pengiriman dan pengemasan cepat, produk aman bagus original"
widifuaidah,5,mantaaaappppppppp!!! sygnya pengiriman agak lama ya.. but no problem
s*****i,5,Bagus banget aku suka kirain bakal lama datengnya ternyata cepet banget.mudah²an awet ..
a*****a,5,"warnanya cantikkk😍💜 sampenyaa cepeettt, pengemasan jg lumayan aman, brg datang sesuai pesanan dan berfungsi dgn baik semogaa awett"
d*****8,5,"Paket sudah sampai dengan selamat, makasih seller. Warna yg di pesen juga sesuai bagus"
batik_izzur,5,Alhamdulillah paket nya udah datang semoga aja bisa dipake sama bisa awet batrai nya 😅
s*****i,5,Baranggggf baguuussss sesuaiii pesanannn syukkaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa pengiriman cepatt😍😍😍😍😍😍😍😍😍
kipik.mano,5,qrwuwbsvsjs whskens dhsmanabshaka shahajanavshajaabbabahahss
a*****7,4,sesuai original. normal jdhidnsudjsnshudndndksndhdhsjsjdmh
dewi.rahma0918,5,Mungil dan ringan gampang bgt buat di bawa kmn”. lucu jg sama warnanya dan pasti produk original..
b*****s,5,"The package is arrived safely, thank you seller for packaging it super safe!"
z*****8,5,"pegemasan dan pengiriman cepat. 
packing oke, powerbank mendarat dengan aman. 
uda di test, sejauh ini masih aman, cuma agak lumayan berat. 
makasih kak."
ajarisalsabila,5,"Barangnya baguss,,barang original,,pengiriman cepatttt,,kualitass baik,,pkoknya the best lah"
s*****_,5,"pngmasan lmyan lma, pngriman lama bgttttss smpe nglbhin tgl estimasi, overall bgs wrnnya lcu thnks.."
yenny_sumbayak,5,"Warnanya saya suka bangettttt 💜🥰💜
Bentuknya juga bagus 👍
Berfungsi dengan baik, thank you 🙏"
lailiazizahekowati,5,Sukaaakk banget sama warnaaanyaaa semoga awet yaa pb yg pertama si jga robot dan awet sampek skarang hheehhe
r*****a,5,"Paling senang belanja disini, udah beberapa kali order ga pernah zonk.
Puas😍😎
Packing rapi aman, seller amanah, ekspedisi cepat.
Thank you seller, shopee dan om kurir🥰"
ryuki354,5,"barang tiba dengan selamat, sumpah ori n keren banget, masih tersegel dengan baik, pengemasannya pun mantap rapi, thank you seller. saya akan sering belanja disini."
little2kidz,5,"Ini yg ke 2x beli PB merk ini. Suka sih dgn produkny, awet charge baterainy jg tahan lama. Beli yg ini krn mau cari yg kapasitasny besar & ternyata lbh slim. Lbh enak digenggam & dbawa. Thank you Robot."
awiafja,5,Dah lama pengen ini. Pas ada sale 9.9 langsung checkout....
a*****p,5,"paket sudah diterima dengan baik, packing rapi dan aman, powerbank juga berfungsi dengan baik, semoga awet yaa. makasih"
rickenfillany_10,5,Baguuusss bangeeettt aaaaaaaww lucuu warna nyaa ijo army😍 ga berat jugaa mudah mudahaaannn ajaaa pemakaian nya bisa aweett yaahhh hihiiiww🤗🤗 sukaaaaaaaaaaa banget deehhh👍🏼👍🏼
d*****8,5,"Suka bangettt next bakal aku rekomendasi in buat temen aku,barang nya baguss, warna nya cantik banget"
nendakaromah,5,Yuhuuu... Akhirnya sampe jugaaaa.... Mantaapp pokoknya..
n*****a,5,"Pengemasan baik, pengiriman cepat, kondisi produk baik"
g*****a,5,Bagus ya teman teman. Ini sepertinya worth it untuk dibeli. Semoga aja awet dan beneran fast charging dan sesuai dengan kapasitas nya. Untuk pengemasan sederhana tapi keliatannya barang tetap aman ga ada masalah selamanya . Semoga aja awet aamiin. Terimakasih seller.pengemasan dan pengiriman cepat.
normahmudah9,5,"Belum di test fungsi nya bagus atau engga, mudahan awett sma ori langsung dari tokonya yaaa🥰"
y*****d,5,"Pengiriman cepat, barang sampai dengan selamat. Warna nya lucu bangett, ukuran gak terlalu besar dan gak berat, enak di bawa kemana""......."
y*****i,5,"Bagus banget gk nyesel deh pkk nya, wrn ny oke dn sampe dgn aman tnp kurang 1 apapun trmkah seller semoga awet deh..👍🏾👍🏾"
2136ab,5,suka bangett warnanya aku kira warnanya lilac gt ternyata warnanya lebih kaya ke putih tapi baguss sihh bs buat 3 kalian ngecasss berguna bangetttt
tasyans_,5,warna cuteee bgtttt xixixi semoga awet yaaa!! thankyou kaaa💗
demon_store.id,5,"Barang sudah sampai,sesuai pesenan,pengiriman cepat,senang bangat pas dpt harga promo smoga awet.trims buat seller,shopee & kurir yg ramah.salam sehat & sukse slalu buat kita smua.Aamiin🤲🙏"
ayura.a,5,"Pengiriman cukup bagus, packing jg aman, brg sesuai pesanan, power banknya bagus, berfungsi dengan baik, untuk seller lebih ditingkatkan lagi kecepatan pengemasanny y ,terimakasih...🌞🌞"
h*****i,5,"Alhamdulillah paketnya sudah sampai dengan selamat dan sesuai pesanan juga, lucuuu warnanyaaa, semoga awet yah amin... Makasih seller"
s*****9,5,"udaa nyampe powerbanknya bagus, sesuai pesanan cute warna purple nyaaa"
r*****i,5,Paketnya cepet nyampenya tapi sayang dititip nggk dianterin nyampe rumah mungkin udah sore kali ya takut ujan..
a*****1,5,Produknya bagus banget original. Berfungsi dengan baik. Pengemasannya rapih dan pengiriman cepat. Ada flash sale lagi jadi harganya juga murah banget. Thanks ya seller
sanis.sulistiawati17,5,"Barangnya udah nyampe semoga awet ya, semoga sesuai ekspektasi"
m*****2,5,"....................Arti jujur adalah lurus hati, ikhlas, tidak berbohong atau curang. ""Dalam bahasa Arab, jujur adalah terjemahan dari kata shiddiq yang artinya benar dan dapat dipercaya. Jujur menekankan pentingnya kesesuaian dan kebenaran dari perkataan atau perbuatan,"" ...................."
r*****a,5,"Semoga berfungsi dengan baik ya kak, cepat pengirimannya thank u kak sukses selalu"
s*****e,5,dapet harga 90k pas flashsale semoga awet🙏🏻 anyway Danke!🥰
r*****6,5,Alhamdulillah paket udah datang mantap barang ORI pengiriman cepat
r*****2,5,Yeesss langsungbdieksekusi sesuai pesanan semoga awettt biar langganan buat dijual lagi🤗🤗🤗🤗
i*****i,5,"Warna ugunya kek warna putihan kek ungu pudar gituu, tpi so far baguss siii semoga aja awet"
a*****_,5,"Yeay sampai juga power Bank nya, warna super cantik banget, suka banget 😍
Tapi ternyata berat ya seperti bawa hp,tidak masalah,bagus sekali👍"
nichdina,5,"Belum tau bagus apa engga, smg oke n awet. Btw katanya tipe C tyt dpt kabel micro"
..siti,5,"Produk sesuai foto, pengiriman standar, produk ori, warna sesuai pesanan, dan ada kartu garansinya 
Semoga awett"
rizasyahputra19,5,"Semoga aweett barang nya, kaya hubungan kita xixixi"
d*****s,5,Real picture bagus dan warnanya sesuai dengan yang ada di deskripsi
s*****a,5,Untuk pemakaian sejauh ini belum dapat dipastikan. Karna belum dipergunakan. Terima kasih 🙏
kamila_indah,5,Terima kasiihh..paket sudah diterimaa..baguussss...top
r*****m,5,"Suka sii barang Dateng masih disegel, cepet juga sampenya, warnanya ungu😅😅 semoga awet yak, udh beli PB Ampe 3x rusak Mulu, katanya beli yg merek ROBOT dia awet, dan semogaaa"
anisahash28,5,Suka banget sama warna ijonya. Lucuuu 😍😍😍. Power bank robot emang baguslah pokoknya 😍. Kabel datanya juga bagus. Ngechas jadi cepet 😍😍😍. Sering-sering ada promo yaa hehe 😁😍🥰
alam739,5,"Alhamdulillah barang sudah nyampe dan sesuai dengan kriteria yang tartulis.... 
Kapasitasnya cukup besar dan tahan lama juga..... 
Di pake seharian kayak gak ada habisnya...."
d*****p,5,Bagus barangya..berfungsi dengan baik.trimakasih shopee.produk robot best pokoknya
repras,5,Pengiriman cepat banget barang Aman sampe rumah. Power bank nya berfungsi. Terimakasih
081367251258wahyudiansyah,5,"Alhamdulillah pesanan sudah mendarat dengan selamat kak
PB nya berfungsi dg baik dan bisa dipake
Kelengkapannya 👍
Terimakasih banyak"
talita_10zahra,5,Alhamdulillah Paketnya sudah sampai dengan selamat… Keren euy… warna nya ungu gitu geisss…
salmapissi1998,5,"Bagus warnanya, gak berat sihh, lumayan lahhh🤏🏻 semoga awet"
t*****5,4,"Kualitas produk baik, produk original, realpict, dan pengiriman juga cepat"
fitanaya87,5,"Kualitas produk sangat baik, produk original, harga produk sangat baik, kecepatan pengiriman sangat baik, respon penjual sangat baik,"
f*****i,5,Udah dicoba dan berfungsi dengan baik dan bisa di cas 2 type usb..
sukmayanti2993,5,Barang sudah di terima dengan sangat baik untuk packing rapih
c*****0,5,Kualiatas produk sangat baik. Dapet harga dibawah 100 pas flash sale. Makasih kak
candyliwe15,5,"Warna ungunya cantik banget, packing aman, pengirimannya juga tergolong cepet, belum di coba, tapi baca review banyak yang bilang kalo bagus."
f*****w,5,"Pesanan sesuai, packing aman, pengiriman lumayan cepat, warnanya lucu ga terlalu keliatan warna ungu"
s*****g,5,overall pengirimannya cpet bgt!! warnanya jg lucu soft lilac💜💜 semoga bs tahan and awet!!thankyouuu!
u*****d,5,"Paket diterima dlm keaadan baik dibungkus dgn aman. Bagus bangett, dpt harga flashsale.
Terima kasih"
ftrlstr909,4,Akhirnya sampai juga ini yang ditunggu tunggu. Pengirimannya sumpah lama bangeeeeett. Semoga ini awet awet. Warnanya cute banget.
ayukusa,5,powerbanknya warnanya cute bingits. Gemash! semoga awet haha. terima kasih
a*****a,5,"bagus, semoga awet lagi dicas. tadi dicoba nyambung kok hehe"
r*****1,5,"Pakett mendarat dengan aman. 
Lagi coba di caz. 
Semogaa aja awett
Thx seller, shopeee , kurir."
f*****i,5,Bagusss.... pengiriman juga cepet. Respon penjual baik. Kualitas oke
h*****u,5,Mantabbbssss.. desain simple but okeyyyyy bgt.. kabel micro buka tapC. Rekomended buat yang cari powerbank untuk kebutuhan insidental
priscillaanggi,5,"Barang sudah sampai. Semoga awet, pengiriman standar. Terimakasih banyak 🤗"
r.sahlan,5,"Pengiriman cepat, warnanya lucu ku sukaaaaaaaaaaaaaaaaa"
c*****a,5,"Bagussssss powerbank nya.. harganya murah lagi promo jugaa hehehe.... warnanyaaa baguss.. manisss bgt ungunyaa... semua okeokeee pokoknyaa 
Semoga tahan lama powerbank nya...."
r*****a,5,"cute parah warna ungunyaaaaaa suka banget, thanks seller :)"
m*****2,5,Udah sampe cepet bangettttttttttttttttttt thank thank thakk umantullllllllllllll
rich_store2022,5,"Barangnya ori, bagus, warna nya favorit saya banget 👍👍 thank you.. Silahkan beli disini"
jemarikecil.id,5,Bhannya eemm okelah yaa.. ada garansi yg penting karna ori nih.. okeokeokeokeokeokeokeeeee
sucimulya2,5,mantalppppllll suka bangets sama power Bank nya warnya juga gemoyyyyy suka bangetttt moga awet dahhhhhhhhh yaaaaaaa thank you
friskanrfa,5,"Baguss dan murah yehehehe barang berfungsi baik dan satu lagi pengirimannnya cepett bgt , kurirnya jg baik bangeyttt thx u ya"
b*****o,5,"Alhamdulillah akhirnya sampe juga pas dgn tanggalnya, walaupun pengemasan dr seller lama gk tau knp it's oke lah  😊
Barang smpe tnpa ca2t sdkitpun walaupun cuma dibungkus bubblewarp aja...mantaaaaappp👍👍👍
Trimakasih Shopie Seller N kurir yg kece badai 😂🙏"
v*****3,5,Kualitas produk sangat baik. Produk original semoga awettt><
lia_angelina02,5,"Nggak nyesel deh kalian beli disini barangnya tu bagus banget dari warna kapasitas nya dan harga nya lumayan murah packing nya juga rapi dikasih Booble rap.Recomended deh apalagi kayak aku yang jualan online 🤗🖤
Nb:  maaf poto nya ngga sesuai karena barang nya udah diambil pelanggan saya"
maylinda28,5,"Semua oke, cuma sayang aja pengemasan agak lama sma ekspedisi pengiriman juga lama. Mungkin efek 9.9 juga sih"
itadiantisari,5,"Alhamdulillah pesanan sampai semoga awet
Aamiin
Tapi kartu garansinya gak diisi ya"
atiah_rauf,5,"Berfungsi dg baikkkk....
Suka dg warnanyaaaaaaaa
Mdah2an awet..."
itarokaye,5,bznsns sjajjwjwjwjw ajajwjwjwjwjjwjwhwhwjwjjwjwjw w wuwjwjwjwjwjwjjwjwjw wnwjwjwjwjwjwjjwjwjwjwjwjwjjw w ajwjeururjneenirirjrjrjrjjrjddndjrjdjjdjd
n*****s,5,"Pernah punya pengalaman gak enak ketika beli handsfree di sini, tapi terpaksa belanja di toko ini lagi karena emang powerbanknya bagus banget & terjamin original."
nunungnurhaeti.,5,Pengemasaan okey karna bli di oficial cepet pesan tgl 9 sekarang tgl 11 dah nyampe makasih seller mudah2an awet yaah
h*****8,5,Barangbsudah sampe dgn aman.blm dicoba semoga aman2 aja.thx
surianieyuanda,5,"Kualitas nya belum tau karna belum dicoba, semoga awet dan ga mudah rusak, pengiriman cepat, harganya murah, semoga tidak mengecewakan"
rhanniy,5,"Paket sampai dengan selamat ,, powerbanknya kirain aku slim ternyata rada berisi juga ya ,,"
oibsk15q38,5,"Barangnya udah sampai, bagus banget, rekomen buat yang mau beli, Terima kasih buat adminnya"
ciencuan88,5,Bagus....sesuai gambar......murah lagi...............
r*****a,5,"Beli powerbank karena warnanya lucu banget, udah sampai kak berfungsi dengan baik langganan deh thank u"
h*****i,5,Bagusssssssss bangettttt fiksss ga akannn nyeselll inimahhhh pokonyaaa manteppp poooooollll 😭
abdurrahman_044,5,"Rekomendasi banget, seller ramah, pengiriman cepat, mudahan awet,"
z*****a,5,"Sesuai gambar, pengiriman J&T cepet banget cuma 2 harian. Udah aku coba dan berfungsi dengan baik.. Semoga awet Terima kasih banyak."
m*****8,5,"Semoga awetttttttttttttttttttt. Barang bagus tp ada goresan, tdk mulusss. Tp gpp."
l*****i,5,"Power banknya baguss, warnanya juga baguss dan pengiriman juga cepatt.. thank you!!"
f*****z,5,KEREN BANGET EUYYYY ASLI TEBUKTI KEASLIANNYA SEMOGAAA AWEETT
f*****e,5,"Gilaak keren abis exited banget pas tau paket nya udah dateng, belum dicoba baru aku cas semoga bisa awet ya aamiinnnn"
sabrina.indah11_,5,barangnya baguss😍warnanyaa cantik bangettt🥺rekomend bgt siii🥰🥰
i*****6,5,Packing rapi aman tp kenapa pengirimannya lamaaaa banget cuy wkwk gpp si murah jg kiyowo warnanya
garnisdera,5,"Sukaaa bgtt huhu lucu poll, tpi tetep agak berat sih (emang ciri khas dri produk robot) but I LOVE ITTY SO MUCH HUHU GEMESH"
g*****t,5,Thankyou barangnya akhirnya sampai juga dan suka banget warna purplenya
jeanemiese,5,Beli dua pas lagi diskon dan worth it banget! Powerbanknya slim jadi bisa dibawa kemana aja dan ga terlalu berat juga. Kapasitasnya besar dan ada lubang buat kabel type C jadi bisa ngecas iphone sama ipad juga. Bener bener worth to buy!
a*****o,5,Puas sesuai harapan cita cita bangsa dan negara.. terimakasih mbk shopee.. next order lagi
g*****a,5,"Produk baik namun pengemasan lama
Avdkfbrkfbfkdnjxhgdgfhofodkwhdurbedgdofodbdodfockdieguosnndbfbfodvvodjshdchristhemsworthvekkeksosbejejsjdbsdbbdjejdkdbrdbfnfcvhd"
rahmaakhairina,5,"berfungsi dgn baik,cuma tolong packingnya agak ngeri takut kebanting😭😭😭😭"
prelovedmomsandbaby,5,Lagi dicoba nih apakah berfungsi dengan baik atau tidak buat power banknya semoga awet. Thank seller buat pengirimannya sangat baik
h*****7,5,Alhamdulillah akhirnya orderan powerbank nya sufah datang. Barangnya 100% original dan packaging nya juga aman bgt. Pengirimannya juga cepat bgttt. Sukses terus seller💟💟
bugiones,5,"Terima kasih seller, di 9.9 dapat harga 80rban kayanya. Pas banget lagi butuh powerbank"
karmilarissa,5,Pengiriman cepat. Barang sudah pasti original. Pengiriman aman. Walaupun keluar jawa.
farisa_rizki,5,"Kedua kalinya beli, powerbanknya pas buat ditas yg kecil2 gitu buat nongki💯"
nicaputriayu1997,5,"Bagus banget, lumayan berat ya,, tapi ini bagus,, mudah²an awet, belinya pas flash shale 9.9 jadi pengemasannya rada lama,"
andizie,5,"Alhamdulillah barang sudah sampai dengan selamat dan berfungsi dengan baik,
Pokonya terimakasih seller robot, JNT dan shopee.
Mantap pokonya.
⭐⭐⭐⭐⭐
👍👍👍👍👍"
ronas.yandeng,5,"Barang sdh dtg dgn kondisi baik. Pengiriman cepat, kirain agak lama. Mkasih seller"
dithapuspitashanty,5,"Kerenn banget ini wrnanya ungu glossy, berfungsi dgn baim udhh dicoba ... Agak berat hehehe. Tx seller"
rostiannamajestisimatupang,5,"Pengiriman ok, produk mantep.
Semoga kualitas nya juga mumpuni, Aminn
Thanks robot"
t*****y,5,Mantap sesuai harga enteng barangnya semoga awet. Thankss
r*****a,4,"Bagus banget warna ungu, semoga aja awet power banknya, kalo bisa packingnya lebih safety lagi"
mutiara_hutagaol,5,"Produknya original, warna lilac nya juga cakep puas belanja disini"
t*****8,5,Bagus bangetttttt...cantikk dam berfungsi dgn baik pinknya rada keunguan gitu
s*****_,5,"Semua kriteria penilaian yang disediakan terpenuhi, mantap."
novamulyawati287,5,"Alhamdulillah barangnya bagus sesuai pesanan, puas banget, sampe nya juga galama"
winaagung11,5,Cepet banget ya ampun kmren sore dikirim skrg smpe padahal jakarta kelampung . Wihiw baguus warna ungu lilac muda banget soft sukaaa
voar.id,5,Powerbank yang ditunggu2 udah dateng.. langsung dipake dan dicoba.. bagus.. makasih
y*****i,5,"Lamaaaa pengirimannya. Tapi ya udah lah, udah sampe dgn selamat.. terimakasih kasih. Semoga awet"
a*****_,5,Belum aku unboxing tapi bagus pengemasannya. Semoga isinya berfungsi dengan baik... Pengiriman terlambat sehari but its no problem karena aku berharapnya malah tgl 18 baru sampai😁😁😁
n*****i,5,"Barang sudah sampai nihh di bogor, harga murmerr banget pengemasannya jga baik 👍👍👍👍"
mitameiln,5,Akhirnya aku menemukan powerbank warna kesukaan acuuuuu!!!!!💜💜💜💜
fitry050686,5,"Warnanya cantik banget
Berfungsi dengan baik
Tidak begitu berat
Rekomendasi deh tuk kalian"
widiyasiske98,5,"Pengirimannya cepet banget
Smoga barang nya awet yaaah
Warnanya lucu banget tapi kaya nya bakal gampang kotor🤪😍😍😍😍😍😍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩😋😋😋😍💨💨💨💨😋😋😋😋😋😋😋😋😋😋😋"
p*****a,5,"akhirnya punya aksesoris yang sama kayak warna handphone 🥺 warna aslinya ungu pucat, persis warna yang di videoku. thank you seller <3"
dyansk,5,Alhamdulillah sdh smp bagus..bisa nyala..warna na sukak..kapasitas 10rb
g*****1,5,"bagus hehe pengemasan & pengiriman cepet, safety juga! tipis enak dibawa kmn mana ga terlalu berat. thx seller"
